"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"318",0.05,"uniform",53,"Doubled Max-Q",1205248,0
"319",0.05,"uniform",54,"LUCB BB",5688,0
"320",0.05,"uniform",54,"LUCB DKW",69751,0
"321",0.05,"uniform",54,"LUCB Stitched",9243,0
"322",0.05,"uniform",54,"QPAC BB",9647,0
"323",0.05,"uniform",54,"QPAC",93210,0
"324",0.05,"uniform",54,"Doubled Max-Q",1177856,0
"325",0.05,"uniform",55,"LUCB BB",4681,0
"326",0.05,"uniform",55,"LUCB DKW",61882,0
"327",0.05,"uniform",55,"LUCB Stitched",8137,0
"328",0.05,"uniform",55,"QPAC",114550,0
"329",0.05,"uniform",55,"QPAC BB",8120,0
"330",0.05,"uniform",55,"Doubled Max-Q",1205248,0
"331",0.05,"uniform",56,"LUCB BB",4291,0
"332",0.05,"uniform",56,"LUCB DKW",72477,0
"333",0.05,"uniform",56,"LUCB Stitched",8818,0
"334",0.05,"uniform",56,"QPAC",84410,0
"335",0.05,"uniform",56,"QPAC BB",6920,0
"336",0.05,"uniform",56,"Doubled Max-Q",1205248,0
"337",0.05,"uniform",57,"LUCB BB",6536,0
"338",0.05,"uniform",57,"LUCB DKW",65895,0
"339",0.05,"uniform",57,"LUCB Stitched",9510,0
"340",0.05,"uniform",57,"QPAC",88650,0
"341",0.05,"uniform",57,"QPAC BB",7950,0
"342",0.05,"uniform",57,"Doubled Max-Q",1150464,0
"343",0.05,"uniform",58,"LUCB BB",5415,0
"344",0.05,"uniform",58,"LUCB DKW",65245,0
"345",0.05,"uniform",58,"LUCB Stitched",8638,0
"346",0.05,"uniform",58,"QPAC",91330,0
"347",0.05,"uniform",58,"QPAC BB",7800,0
"348",0.05,"uniform",58,"Doubled Max-Q",1150464,0
"349",0.05,"uniform",59,"LUCB BB",4644,0
"350",0.05,"uniform",59,"LUCB DKW",64951,0
"351",0.05,"uniform",59,"LUCB Stitched",7473,0
"352",0.05,"uniform",59,"QPAC",104630,0
"353",0.05,"uniform",59,"QPAC BB",6890,0
"354",0.05,"uniform",59,"Doubled Max-Q",1123072,0
"355",0.05,"uniform",60,"LUCB BB",4582,0
"356",0.05,"uniform",60,"LUCB DKW",73159,0
"357",0.05,"uniform",60,"LUCB Stitched",9097,0
"358",0.05,"uniform",60,"QPAC BB",10470,0
"359",0.05,"uniform",60,"QPAC",106250,0
"360",0.05,"uniform",60,"Doubled Max-Q",1205248,0
"361",0.05,"uniform",61,"LUCB BB",4860,0
"362",0.05,"uniform",61,"LUCB DKW",68049,0
"363",0.05,"uniform",61,"LUCB Stitched",8275,0
"364",0.05,"uniform",61,"QPAC",94960,0
"365",0.05,"uniform",61,"QPAC BB",6270,0
"366",0.05,"uniform",61,"Doubled Max-Q",1205248,0
"367",0.05,"uniform",62,"LUCB BB",4653,0
"368",0.05,"uniform",62,"LUCB DKW",74415,0
"369",0.05,"uniform",62,"LUCB Stitched",9570,0
"370",0.05,"uniform",62,"QPAC",100700,0
"371",0.05,"uniform",62,"QPAC BB",6220,0
"372",0.05,"uniform",62,"Doubled Max-Q",1150464,0
"373",0.05,"uniform",63,"LUCB BB",4549,0
"374",0.05,"uniform",63,"LUCB DKW",67713,0
"375",0.05,"uniform",63,"LUCB Stitched",8094,0
"376",0.05,"uniform",63,"QPAC BB",8620,0
"377",0.05,"uniform",63,"QPAC",98200,0
"378",0.05,"uniform",63,"Doubled Max-Q",1150464,0
"379",0.05,"uniform",64,"LUCB BB",4491,0
"380",0.05,"uniform",64,"LUCB DKW",65735,0
"381",0.05,"uniform",64,"LUCB Stitched",8023,0
"382",0.05,"uniform",64,"QPAC BB",9380,0
"383",0.05,"uniform",64,"QPAC",99090,0
"384",0.05,"uniform",64,"Doubled Max-Q",1205248,0
"385",0.1,"uniform",1,"LUCB BB",9815,0
"386",0.1,"uniform",1,"LUCB DKW",71885,0
"387",0.1,"uniform",1,"LUCB Stitched",11244,0
"388",0.1,"uniform",1,"QPAC BB",11670,0
"389",0.1,"uniform",1,"QPAC",100470,0
"390",0.1,"uniform",1,"Doubled Max-Q",1175552,0
"391",0.1,"uniform",2,"LUCB BB",7675,0
"392",0.1,"uniform",2,"LUCB DKW",72813,0
"393",0.1,"uniform",2,"LUCB Stitched",10064,0
